# ATLAS exclusion of Bino DM
# https://arxiv.org/abs/2402.01392
# mass [GeV] 	sigma_SI [cm^2]
36.09804907469557	3.2291699999439427e-45
34.33932523445092	3.2291699999439427e-45
32.82985620171838	2.080567538217214e-45
31.386739572395697	1.0760146438152754e-45
31.386739572395697	4.8063808630644484e-46
31.074761858559352	1.995262314968899e-46
31.701849413016262	9.589990607460185e-47
32.82985620171838	3.438457306945601e-47
33.82861090659312	1.9848480854669978e-47
35.9181974575836	7.657568828978515e-48
37.010906133520635	3.548133892335847e-48
37.010906133520635	1.1822988651687207e-48
37.196229222931095	4.397256688661953e-49
39.10127233763813	1.4652410959153793e-49
39.10127233763813	3.263144934315633e-50
39.29706242619604	1.1279055334059436e-50
39.49383288588988	3.36722957521145e-51
40.290816984859596	1.7414423062276978e-51
41.72443413725878	1.6184187791840944e-51
45.649498278020474	2.803672441094719e-51
48.46925868510901	9.391333704860035e-51
50.69780469442249	4.374305300270091e-50
53.02881600752557	1.5199110829529518e-49
54.9156732591017	4.731512589614851e-49
54.9156732591017	1.0987758131028845e-48
55.19065010481082	1.7689977182254423e-48
58.017295981956806	2.8480358684358397e-48
62.53101017706185	4.1080560801773723e-48
66.39353820833763	1.064811486234943e-47
67.06010178034575	2.862979127509822e-47
67.06010178034575	6.178870468273794e-47
67.39588889113085	1.5439611338452093e-46
67.39588889113085	3.719242924279143e-46
67.06010178034575	1.1578075137048953e-45
64.43333774837915	2.4088967285183477e-45
60.98871143328989	3.4746342073085983e-45
54.9156732591017	4.657810528025984e-45
49.943797588237416	5.198871592860593e-45
46.33867386653277	5.0118723362728375e-45
44.97057250790331	2.7890387320176388e-45
41.933359069016035	2.6887192376492885e-45
38.136857353209386	2.7890387320176388e-45
36.09804907469557	3.2291699999439427e-45
