# CYGNUS   Projection
# https://arxiv.org/pdf/2410.22168
# mass [GeV]    contact nuclear sigma_SI [cm^2]
1e15    2.071275852698198e-25
19952623149688828	9.25204938218781e-25
79432823472427890	1.8694083580199196e-24
1501310728908171300	8.218470427727643e-24
30363577601873460000	3.963425867977115e-23
112201845430195620000	8.157847127997572e-23
186461097142693720000	1.1174587776609663e-22
259839925087515640000	1.3697961730931064e-22
387467512045611250000	1.8081511281811574e-22
529089827594816400000	2.3000450074394837e-22
666084629080911400000	2.716962231219702e-22
783641896621746300000	3.150592849132536e-22
915724230298322000000	3.721684466763286e-22
1.0205247209152571e+21	4.1588289750691414e-22
1.1296428984927406e+21	4.822583353959915e-22
1.250428384498728e+21	5.592273773533716e-22
1.347137000694172e+21	6.605956222676863e-22
1.4221361511653232e+21	7.660275213875492e-22
1.501310728908159e+21	9.390069578020869e-22
1.5635711447601114e+21	1.3347561459367971e-21
1.5635711447601114e+21	2.0056299387134614e-21
1.5635711447601114e+21	3.763246799605891e-21
1.5635711447601114e+21	6.804518946331522e-21
1.5635711447601114e+21	7.861372809369759e-18
19952623149688828	8.008238108038204e-18
